Group,X,Y
86,8246.391117283347,3448.1457087698777
87,8485.272699922234,3760.2189449736134
88,8658.658242221736,3746.730687743184
89,8689.518923884214,4012.400379837087
90,8799.387106317665,4467.699433165357
91,4063.9852344291658,3102.975861964354
92,4491.008600340005,2804.2088744475127
93,2491.707432538719,3678.4341161444
94,3520.8215903379355,3001.5573461166214
95,2285.042523223813,3566.334239365001
96,6296.897424836372,427.0003558657902
97,6455.263885116673,548.4624019641141
98,412.7232573808566,3675.4108479838205
99,202.54807349630624,3776.6195816401705
100,438.8099313666704,3565.8873311310253
101,1535.4409954692348,3072.5516755860335
102,2773.0627331347873,3573.2311264388763
103,2958.137590157145,3204.521889619015
104,6239.480383033336,0.0
105,5787.523749071437,72.42518104747643
106,6384.018311456098,53.272716608543135
107,6158.968019859424,111.18422701849175
108,5666.434296783339,222.4654232142825
109,5299.911598509534,285.07272428557985
110,5651.8015297705915,276.7589248122715
111,9146.177558054851,1123.801344209026
112,10082.159180278955,1197.6608345739328
113,9528.223621288238,1127.876468459392
114,10721.890539582359,1394.2381390474256
115,8771.443939443589,1633.8424713552654
116,11715.152663414283,1534.814483809329
117,10782.605011783335,1518.037430506
118,10626.3265847,1488.8502762887674
119,8466.196075266667,1639.903176714125
120,11048.907709018597,1745.3303420564189
121,9369.410331504885,1395.7355790475426
122,11890.019236033337,1792.2786026839008
123,8870.965387341017,2062.9624336629618
124,11856.819417290908,4119.828356092864
125,12561.56470589048,4256.226079047525
126,12369.752888783341,4213.871448630811
127,12037.714915336366,4390.524396502211
128,11685.784296985717,4560.373217857088
129,14280.127921086369,4599.110732229453
130,12781.069716183874,4764.210462595973
131,12349.691793686488,4660.459866480043
132,11857.464145082982,4800.356002664493
133,12318.291706308693,4916.578443395186
134,12604.651276404555,4836.550147911136
135,13370.295597743481,5055.416426873857
136,11589.886197264515,5214.428377273438
137,12413.43107911667,5089.745738214148
138,12551.854013512502,5132.675058839294
139,13067.947969347902,5176.328689047581
140,13072.073564518196,5427.087006623474
141,13889.227823833335,5297.051444380913
142,13404.006208869818,5376.731742066451
143,14565.489921842865,5168.643014251641
144,13254.94614043078,5662.3491171246715
145,16371.672365055554,7212.99734349207
146,15806.717730790908,7533.043987229535
147,15774.7739732,7630.244946547522
148,15527.384674170591,7578.815820518198
149,16099.128525172233,7458.228058491996
150,16517.047612766662,7987.490838380922
151,16198.306940988889,6641.145759047503
152,19413.111881766676,8140.787121381007
153,18866.08004467298,7701.841856615112
154,19427.439950763302,7881.439121579137
155,23981.76033045001,10052.744166047516
156,23702.683457793035,10029.618249512767
157,23252.80628659189,9862.150690939476
158,25059.912239699992,9305.286880411022
159,24841.13016010743,9311.037147195862
160,24507.881211651227,9764.981558803614
161,24906.67161355715,9113.431913511806
162,26006.730244977785,8886.546301547549
163,26679.481771575003,9358.265941547515
164,26992.105330653492,9487.351785559285
165,29208.02985288182,10980.480248744612
166,28893.766922828214,10155.325176739663
167,28811.08225842093,10486.76799834991
168,29109.8794412,10664.045992380896
169,28678.565183922216,11768.186604603356
170,28910.684322041456,11762.42735441348
171,28899.318433184388,11541.091380453925
172,27255.415134226325,11764.756165889718
173,24539.59913835574,10912.02376790001
174,21897.988193331592,11154.291002468586
175,21808.93381775129,11537.806999304048
176,19585.75759400435,10609.191343612898
177,19556.435923615507,10948.672853554572
178,17268.81534394075,11752.639873121718
179,17037.78902599214,12081.70754477794
180,7864.794856609092,4892.412554501963
181,7267.127139200002,4834.205957124622
182,6654.678627418762,4929.821920766315
183,6301.06903490691,5006.198321806169
184,6253.9800575250065,5417.548680047616
185,6949.088013747617,4800.127166190584
186,1409.7655433274574,5873.657127675045
187,179.14447801250572,4342.141496547434
188,0.0,4106.04919504761
189,2.8769136600045044,4701.837940247673
190,13422.22048610817,8247.257098435432
191,13962.265425781097,8661.53925607464
192,13407.68998523572,8632.284019761963
193,13571.590828284916,8721.969752443705
194,13759.536729621886,8903.818859985122
195,14590.666744271433,9145.110905714157
196,13730.212181328576,9105.829041476087
197,14067.795325700003,9257.247632343095
198,13804.924739676755,9340.360023466126
199,13945.246657396214,9582.936658034925
200,14476.68244606923,9757.515504432344
201,14060.803314793757,9751.099471235293
202,20098.466213181495,7883.034221640053
203,19855.492040700017,7812.362360786778
204,19547.97503756843,8418.663508521284
205,10378.62083120848,1460.3284107426075
206,10612.29102875064,1696.6973871489436
207,10712.417452866668,1926.3432261308521
208,10819.356966223078,1793.480770586019
209,10941.200282184858,1884.6696105626338
210,11055.908538366675,1878.909241190402
211,10529.9084718099,1906.7720347619497
212,10405.44699599412,2048.0554190475564
213,10330.264832450006,2100.212128138365
214,11444.832112257698,2156.794439624533
215,9800.714323325003,2240.6154381098986
216,10567.06606844075,2176.079352751323
217,9677.232098000008,2255.8046675475493
218,11050.594992537846,2087.4960409394266
219,10390.5037400125,2270.4980159227216
220,10040.66931661229,2168.650725714246
221,10221.5785731359,2252.9560249450483
222,9729.864102699998,2371.0572860475186
223,10428.639593758831,2358.1435034593637
224,9963.544766233988,2344.6162785621955
225,11021.668399038716,2394.424438241184
226,11234.58885854,2319.7830502474485
227,10830.541435220555,2236.5659863079018
228,9951.44126687501,2454.9346382976687
229,10131.947224008649,2418.985044109315
230,10005.09290081629,2521.8861341638367
231,10603.058688733337,2461.3222267142987
232,11298.615857504887,2579.6936251453053
233,11640.65342006001,2309.7305466474027
234,10952.891494399995,2558.064445047378
235,10383.284687772733,2573.1120705021553
