number	T1	density	W	density	k	density
48	0.00475453	282.404	0.355579	1.4654	0.147434	2.93538
49	0.00485521	235.247	0.363143	1.30814	0.15035	2.57563
50	0.00495588	192.929	0.370708	1.17308	0.153266	2.24083
51	0.00505656	154.944	0.378273	1.06137	0.156182	1.93242
52	0.00515724	121.256	0.385838	0.97296	0.159098	1.65169
53	0.00525791	92.1793	0.393402	0.906789	0.162014	1.3996
54	0.00535859	68.0461	0.400967	0.861032	0.164929	1.17657
55	0.00545926	48.9034	0.408532	0.833307	0.167845	0.982268
56	0.00555994	34.3885	0.416096	0.820869	0.170761	0.815569
57	0.00566061	23.8053	0.423661	0.820777	0.173677	0.674607
58	0.00576129	16.3099	0.431226	0.830039	0.176593	0.556912
59	0.00586197	11.0937	0.438791	0.845718	0.179509	0.459625
60	0.00596264	7.49271	0.446355	0.865032	0.182425	0.379741
61	0.00606332	5.01475	0.45392	0.885435	0.18534	0.314329
62	0.00616399	3.3156	0.461485	0.90468	0.188256	0.260708
63	0.00626467	2.15868	0.469049	0.920879	0.191172	0.216556
64	0.00636534	1.3799	0.476614	0.932532	0.194088	0.179955
65	0.00646602	0.863598	0.484179	0.938543	0.197004	0.149387
66	0.0065667	0.527578	0.491744	0.938213	0.19992	0.123684
67	0.00666737	0.313581	0.499308	0.931211	0.202836	0.101971
68	0.00676805	0.180697	0.506873	0.917532	0.205751	0.0835917
69	0.00686872	0.100567	0.514438	0.897442	0.208667	0.0680524
70	0.0069694	0.0538494	0.522002	0.871426	0.211583	0.0549654
71	0.00707007	0.0276336	0.529567	0.840143	0.214499	0.0440132
72	0.00717075	0.0135377	0.537132	0.804396	0.217415	0.0349225
73	0.00727143	0.00630761	0.544697	0.765112	0.220331	0.0274489
74	0.0073721	0.00278515	0.552261	0.723343	0.223247	0.0213684
75	0.00747278	0.00116167	0.559826	0.680277	0.226162	0.0164751
76	0.00757345	0.0004564	0.567391	0.637241	0.229078	0.0125802
77	0.00767413	0.000168522	0.574955	0.595713	0.231994	0.00951378
78	0.0077748	5.83877e-05	0.58252	0.557305	0.23491	0.00712516
79	0.00787548	1.89652e-05	0.590085	0.523728	0.237826	0.00528366
80	0.00797615	5.77468e-06	0.59765	0.496725	0.240742	0.00387818
81	0.00807683	1.64949e-06	0.605214	0.477972	0.243658	0.0028161
82	0.00817751	4.42675e-07	0.612779	0.468955	0.246573	0.00202156
83	0.00827818	1.11869e-07	0.620344	0.47082	0.249489	0.00143337
84	0.00837886	2.66937e-08	0.627909	0.484216	0.252405	0.0010028
85	0.00847953	6.03163e-09	0.635473	0.509151	0.255321	0.000691444
86	0.00858021	1.29386e-09	0.643038	0.544877	0.258237	0.000469332
87	0.00868089	2.63928e-10	0.650603	0.58983	0.261153	0.00031324
88	0.00878156	5.1215e-11	0.658167	0.641633	0.264069	0.000205339
89	0.00888224	9.44429e-12	0.665732	0.697197	0.266985	0.000132082
90	0.00898291	1.65117e-12	0.673297	0.752892	0.2699	8.3298e-05
91	0.00908359	2.72818e-13	0.680862	0.804804	0.272816	5.14734e-05
92	0.00918426	4.24477e-14	0.688426	0.849042	0.275732	3.11545e-05
93	0.00928494	6.19707e-15	0.695991	0.88207	0.278648	1.84671e-05
94	0.00938562	8.46183e-16	0.703556	0.901019	0.281564	1.07223e-05
95	0.00948629	1.07766e-16	0.71112	0.903943	0.28448	6.10093e-06
96	0.00958697	1.27719e-17	0.718685	0.889995	0.287396	3.40461e-06
97	0.00968764	1.40603e-18	0.72625	0.859483	0.290311	1.86545e-06
98	0.00978832	1.43579e-19	0.733815	0.813814	0.293227	1.00493e-06
99	0.00988899	1.35852e-20	0.741379	0.755325	0.296143	5.33108e-07
100	0.00998967	1.19003e-21	0.748944	0.687042	0.299059	2.78952e-07
